Timestamp,ArrivalTime,TotalTime(ms),WaitTime(ms),DecodeTime(ms),InferTime(ms),ServerComputeTime(ms),TotalServer(ms),Total
1758587506.9318733,1758587506.9934628,215.65699577331543,0.03552436828613281,0.10943412780761719,55.94825744628906,56.05769157409668,56.354522705078125,144.96803283691406
1758587507.1513581,1758587507.203186,205.03807067871094,0.03528594970703125,0.11777877807617188,61.32316589355469,61.44094467163086,61.73539161682129,150.8774757385254
1758587507.3565795,1758587507.4179966,254.5781135559082,0.03552436828613281,0.10848045349121094,61.87105178833008,61.97953224182129,62.32023239135742,192.9774284362793
1758587507.6113079,1758587507.6361167,150.15363693237305,0.24318695068359375,0.12350082397460938,58.85171890258789,58.9752197265625,60.68992614746094,84.50055122375488
1758587507.7653983,1758587507.8477304,150.2835750579834,0.03266334533691406,0.10800361633300781,62.071800231933594,62.1798038482666,62.307119369506836,126.60622596740723
1758587507.9193842,1758587508.0629954,210.2804183959961,0.03457069396972656,0.10776519775390625,62.20579147338867,62.31355667114258,62.4697208404541,64.35036659240723
1758587508.1333973,1758587508.2788608,209.25498008728027,0.03457069396972656,0.11038780212402344,62.009572982788086,62.11996078491211,62.2713565826416,64.49627876281738
1758587508.3428173,1758587508.492932,221.63724899291992,0.5869865417480469,0.10919570922851562,62.059879302978516,62.16907501220703,64.16702270507812,213.43207359313965
1758587508.572353,1758587508.6438136,215.23046493530273,0.15497207641601562,0.09751319885253906,63.279151916503906,63.376665115356445,63.91429901123047,150.0546932220459
1758587508.7913885,1758587508.9232376,204.24628257751465,0.20742416381835938,0.12063980102539062,63.11511993408203,63.23575973510742,63.85612487792969,149.19090270996094
1758587508.9994006,1758587509.0748496,223.1733798980713,0.15497207641601562,0.10251998901367188,63.06648254394531,63.169002532958984,63.71593475341797,149.1532325744629
1758587509.2263765,1758587509.3538516,199.42116737365723,0.25963783264160156,0.10132789611816406,63.37785720825195,63.47918510437012,64.12458419799805,150.26569366455078
1758587509.4373631,1758587509.569458,274.48391914367676,0.13637542724609375,0.10442733764648438,62.80517578125,62.909603118896484,63.42196464538574,215.01708030700684
1758587509.7244136,1758587509.7871165,95.30353546142578,0.17452239990234375,0.10204315185546875,21.52562141418457,21.62766456604004,22.052288055419922,84.00440216064453
1758587509.8254082,1758587510.0026646,204.44583892822266,0.15163421630859375,0.09751319885253906,21.518707275390625,21.616220474243164,22.011995315551758,88.4866714477539
1758587510.0373507,1758587510.218152,205.26456832885742,0.1571178436279297,0.0972747802734375,21.353960037231445,21.451234817504883,21.85225486755371,87.90755271911621
1758587510.2543547,1758587510.4339027,213.4265899658203,0.14781951904296875,0.10347366333007812,21.477699279785156,21.581172943115234,21.96955680847168,88.4246826171875
1758587510.4693863,1758587510.6483874,209.320068359375,0.15115737915039062,0.10013580322265625,21.591901779174805,21.69203758239746,22.096872329711914,87.62073516845703
1758587510.6823907,1758587510.798984,251.0051727294922,0.03719329833984375,0.11301040649414062,61.54441833496094,61.65742874145508,61.94663047790527,129.46152687072754
1758587510.9335263,1758587511.0138862,217.15354919433594,0.03600120544433594,0.110626220703125,62.02960014343262,62.14022636413574,62.43753433227539,130.24330139160156
1758587511.1554193,1758587511.2301524,207.97014236450195,0.03910064697265625,0.11873245239257812,61.75112724304199,61.86985969543457,62.17026710510254,129.8503875732422
1758587511.3683577,1758587511.510094,235.82720756530762,0.1804828643798828,0.10132789611816406,21.391868591308594,21.493196487426758,21.908044815063477,88.15717697143555
1758587511.6083517,1758587511.7248783,207.0784568786621,0.156402587890625,0.0972747802734375,21.386384963989258,21.483659744262695,22.023916244506836,150.46334266662598
1758587511.8243558,1758587511.9400327,216.22180938720703,0.16999244689941406,0.10728836059570312,21.460771560668945,21.56805992126465,22.095918655395508,151.37934684753418
1758587512.0443711,1758587512.177166,210.09588241577148,0.2529621124267578,0.10132789611816406,63.117027282714844,63.21835517883301,63.85040283203125,152.07195281982422
1758587512.2593515,1758587512.3919344,206.34007453918457,0.2567768096923828,0.11563301086425781,63.03286552429199,63.14849853515625,63.783884048461914,151.1673927307129
1758587512.4658368,1758587512.5853403,220.7334041595459,0.15616416931152344,0.10061264038085938,21.54850959777832,21.64912223815918,22.202014923095703,151.21078491210938
1758587512.6867294,1758587512.822465,205.8703899383545,0.25582313537597656,0.10156631469726562,62.97445297241211,63.076019287109375,63.70830535888672,151.30281448364258
1758587512.9013665,1758587513.0379453,212.28671073913574,0.2384185791015625,0.11277198791503906,63.32564353942871,63.43841552734375,64.04948234558105,153.02395820617676
1758587513.113794,1758587513.232936,269.594669342041,0.17762184143066406,0.11157989501953125,19.778966903686523,19.890546798706055,21.494388580322266,151.07178688049316
1758587513.3923516,1758587513.468522,207.3044776916504,0.1544952392578125,0.09989738464355469,63.03000450134277,63.12990188598633,63.67611885070801,148.10562133789062
1758587513.5997682,1758587513.6624718,215.67058563232422,0.03457069396972656,0.10967254638671875,20.621538162231445,20.731210708618164,21.055221557617188,149.30438995361328
1758587513.8155982,1758587513.8992004,278.44858169555664,0.133514404296875,0.09918212890625,62.796831130981445,62.896013259887695,63.30752372741699,149.53875541687012
1758587514.0953927,1758587514.1160452,217.41390228271484,0.16188621520996094,0.11801719665527344,61.86175346374512,61.97977066040039,126.07884407043457,193.65167617797852
1758587514.316364,1758587514.3355367,209.0780735015869,0.036716461181640625,0.10609626770019531,58.266401290893555,58.37249755859375,58.70985984802246,189.3773078918457
1758587514.5255592,1758587514.550363,172.3029613494873,0.034332275390625,0.10919570922851562,58.403730392456055,58.51292610168457,58.80379676818848,147.32050895690918
