samples_per_class,accuracy
1,0.21925925925925926
5,0.23925925925925925
10,0.2581481481481481
50,0.45925925925925926
100,0.4633333333333333
250,0.4514814814814815
500,0.2722222222222222
1000,0.23444444444444446
1400,0.22111111111111112
