Timestamp,ArrivalTime,TotalTime(ms),WaitTime(ms),DecodeTime(ms),InferTime(ms),ServerComputeTime(ms),TotalServer(ms),Total
1759167614.9117143,1759167614.988463,2264.111280441284,0.034809112548828125,15.115022659301758,2160.1901054382324,2175.305128097534,2175.467014312744,2192.5954818725586
1759167617.183507,1759167617.3624363,494.48490142822266,0.15783309936523438,0.08487701416015625,163.071870803833,163.15674781799316,297.67346382141113,299.38387870788574
1759167617.6827283,1759167617.8378613,304.2457103729248,0.10585784912109375,0.07677078247070312,144.6084976196289,144.6852684020996,144.87051963806152,290.73500633239746
1759167617.9955971,1759167618.0080469,159.0557098388672,0.016927719116210938,0.07987022399902344,143.4328556060791,143.51272583007812,143.5708999633789,144.07968521118164
1759167618.154812,1759167618.1615808,177.76846885681152,0.016450881958007812,0.07343292236328125,162.6572608947754,162.73069381713867,162.78982162475586,163.30623626708984
1759167618.3327262,1759167618.3379009,184.36670303344727,0.017881393432617188,0.08440017700195312,159.96026992797852,160.04467010498047,160.10546684265137,160.69316864013672
1759167618.5186553,1759167618.5251,176.6495704650879,0.015974044799804688,0.07581710815429688,165.3597354888916,165.4355525970459,165.49253463745117,165.99655151367188
1759167618.6953964,1759167618.7041392,187.9587173461914,0.016927719116210938,0.08082389831542969,149.81913566589355,149.89995956420898,150.02846717834473,178.8160800933838
1759167618.886629,1759167618.8894258,153.69939804077148,0.0171661376953125,0.08463859558105469,148.2679843902588,148.35262298583984,148.41079711914062,148.89907836914062
1759167619.0416226,1759167619.052514,189.44764137268066,0.016927719116210938,0.07653236389160156,171.4646816253662,171.5412139892578,171.6153621673584,172.0907688140869
1759167619.2312236,1759167619.2381802,197.08538055419922,0.01621246337890625,0.0762939453125,171.65207862854004,171.72837257385254,171.83423042297363,172.52874374389648
1759167619.4284503,1759167619.4331083,191.4980411529541,0.015735626220703125,0.07486343383789062,182.83390998840332,182.9087734222412,182.9664707183838,183.46667289733887
1759167619.620129,1759167619.6216216,199.7368335723877,0.01621246337890625,0.07534027099609375,193.9249038696289,194.000244140625,194.05746459960938,194.55385208129883
1759167619.8199558,1759167619.851639,185.8236789703369,0.020503997802734375,0.07700920104980469,149.05309677124023,149.13010597229004,149.19376373291016,174.94487762451172
1759167620.0059214,1759167620.012143,137.65263557434082,0.015974044799804688,0.07772445678710938,118.36838722229004,118.44611167907715,118.49594116210938,118.95561218261719
1759167620.1515968,1759167620.1561244,154.59775924682617,0.01621246337890625,0.0762939453125,131.07872009277344,131.15501403808594,131.2124729156494,131.67905807495117
1759167620.3063257,1759167620.3110843,181.74505233764648,0.0152587890625,0.07462501525878906,168.10941696166992,168.1840419769287,168.23410987854004,168.70999336242676
1759167620.488211,1759167620.5065546,185.6682300567627,0.01621246337890625,0.07486343383789062,162.74309158325195,162.81795501708984,162.8744602203369,163.3892059326172
1759167620.6740196,1759167620.6870842,190.62256813049316,0.016450881958007812,0.07557868957519531,173.46596717834473,173.54154586791992,173.60424995422363,174.08370971679688
1759167620.8647847,1759167620.867416,150.97737312316895,0.015497207641601562,0.08344650268554688,127.9144287109375,127.99787521362305,128.0524730682373,128.53336334228516
1759167621.0207405,1759167621.0320158,145.22838592529297,0.016927719116210938,0.07653236389160156,133.00561904907227,133.08215141296387,133.14223289489746,133.63027572631836
1759167621.1661022,1759167621.1742527,134.53197479248047,0.01811981201171875,0.07724761962890625,105.67617416381836,105.75342178344727,105.87954521179199,110.36396026611328
1759167621.3007724,1759167621.309999,147.86839485168457,0.016689300537109375,0.07653236389160156,134.1414451599121,134.2179775238037,134.27448272705078,134.7520351409912
1759167621.448779,1759167621.4541287,149.4452953338623,0.015020370483398438,0.0743865966796875,124.10831451416016,124.18270111083984,124.24087524414062,143.7227725982666
1759167621.5983582,1759167621.603114,161.21697425842285,0.015735626220703125,0.07510185241699219,146.68679237365723,146.76189422607422,146.82412147521973,147.31669425964355
1759167621.7597177,1759167621.7760072,168.91956329345703,0.01621246337890625,0.0782012939453125,138.73672485351562,138.81492614746094,138.871431350708,139.34946060180664
1759167621.9287748,1759167621.9360828,165.28868675231934,0.0152587890625,0.07510185241699219,157.02557563781738,157.10067749023438,157.15837478637695,157.62758255004883
1759167622.0941956,1759167622.1010633,187.62636184692383,0.0152587890625,0.07462501525878906,179.79764938354492,179.8722743988037,179.92830276489258,180.38296699523926
1759167622.2819555,1759167622.2834144,182.50489234924316,0.0152587890625,0.09560585021972656,170.40705680847168,170.5026626586914,170.55726051330566,171.03195190429688
1759167622.4646275,1759167622.4700642,139.0097141265869,0.0152587890625,0.07343292236328125,127.7167797088623,127.79021263122559,127.84767150878906,128.3247470855713
1759167622.6037734,1759167622.6109831,144.77276802062988,0.015497207641601562,0.07367134094238281,136.63029670715332,136.7039680480957,136.75212860107422,137.2065544128418
1759167622.7486334,1759167622.7601533,168.62845420837402,0.015497207641601562,0.0743865966796875,152.67443656921387,152.74882316589355,152.80508995056152,153.25546264648438
1759167622.919623,1759167622.9368665,190.0918483734131,0.015974044799804688,0.07319450378417969,163.7279987335205,163.8011932373047,163.85746002197266,180.1161766052246
1759167623.1098495,1759167623.1150699,171.72694206237793,0.0152587890625,0.07295608520507812,159.1017246246338,159.17468070983887,159.23309326171875,159.69157218933105
1759167623.2817175,1759167623.2860665,177.3214340209961,0.015020370483398438,0.07176399230957031,157.0596694946289,157.13143348693848,157.18889236450195,157.64760971069336
1759167623.4606254,1759167623.4673471,184.24534797668457,0.0152587890625,0.07653236389160156,157.28211402893066,157.35864639282227,175.1842498779297,175.67014694213867
