run,description,batch_size,rep,task_sequence,tasks_in_batch,backbone_latency_ms,total_latency_ms,per_request_latency_ms,mean_decoder_latency_ms,sum_decoder_latency_ms,mean_swap_latency_ms,gpu_peak_mb
run1_baseline,"Single task, single decoder — heartrate regression, seq_len=512",1,14,heartrate,heartrate,3.145343,3.3587,3.3587,0.13343,0.13343,0.000739,444.20068359375
run1_baseline,"Single task, single decoder — heartrate regression, seq_len=512",1,15,heartrate,heartrate,3.103624,3.317103,3.317103,0.135763,0.135763,0.000787,444.20068359375
run1_baseline,"Single task, single decoder — heartrate regression, seq_len=512",1,16,heartrate,heartrate,3.174608,3.391349,3.391349,0.138283,0.138283,0.000683,444.20068359375
run1_baseline,"Single task, single decoder — heartrate regression, seq_len=512",1,17,heartrate,heartrate,3.173245,3.391489,3.391489,0.137097,0.137097,0.00072,444.20068359375
run1_baseline,"Single task, single decoder — heartrate regression, seq_len=512",1,18,heartrate,heartrate,3.131022,3.34262,3.34262,0.134192,0.134192,0.000759,444.20068359375
run1_baseline,"Single task, single decoder — heartrate regression, seq_len=512",1,19,heartrate,heartrate,3.179195,3.423956,3.423956,0.16773,0.16773,0.000687,444.20068359375
run1_baseline,"Single task, single decoder — heartrate regression, seq_len=512",1,20,heartrate,heartrate,3.153828,3.363439,3.363439,0.131373,0.131373,0.00081,444.20068359375
run1_baseline,"Single task, single decoder — heartrate regression, seq_len=512",1,21,heartrate,heartrate,3.075012,3.297512,3.297512,0.142008,0.142008,0.00079,444.20068359375
run1_baseline,"Single task, single decoder — heartrate regression, seq_len=512",1,22,heartrate,heartrate,3.090224,3.44735,3.44735,0.274462,0.274462,0.000807,444.20068359375
run1_baseline,"Single task, single decoder — heartrate regression, seq_len=512",1,23,heartrate,heartrate,3.108149,3.313605,3.313605,0.130504,0.130504,0.000761,444.20068359375
run1_baseline,"Single task, single decoder — heartrate regression, seq_len=512",1,24,heartrate,heartrate,3.088801,3.305043,3.305043,0.138917,0.138917,0.000701,444.20068359375
run1_baseline,"Single task, single decoder — heartrate regression, seq_len=512",1,25,heartrate,heartrate,3.140527,3.35272,3.35272,0.134183,0.134183,0.00079,444.20068359375
run1_baseline,"Single task, single decoder — heartrate regression, seq_len=512",1,26,heartrate,heartrate,3.08163,3.292696,3.292696,0.133515,0.133515,0.000803,444.20068359375
run1_baseline,"Single task, single decoder — heartrate regression, seq_len=512",1,27,heartrate,heartrate,3.097358,3.304971,3.304971,0.134115,0.134115,0.00082,444.20068359375
run1_baseline,"Single task, single decoder — heartrate regression, seq_len=512",1,28,heartrate,heartrate,3.077912,3.286013,3.286013,0.13142,0.13142,0.000775,444.20068359375
run1_baseline,"Single task, single decoder — heartrate regression, seq_len=512",1,29,heartrate,heartrate,3.079385,3.287693,3.287693,0.131822,0.131822,0.000774,444.20068359375
run1_baseline,"Single task, single decoder — heartrate regression, seq_len=512",1,30,heartrate,heartrate,3.093936,3.306214,3.306214,0.134462,0.134462,0.000757,444.20068359375
run1_baseline,"Single task, single decoder — heartrate regression, seq_len=512",1,31,heartrate,heartrate,3.116065,3.331246,3.331246,0.136264,0.136264,0.000734,444.20068359375
run1_baseline,"Single task, single decoder — heartrate regression, seq_len=512",1,32,heartrate,heartrate,3.189002,3.405029,3.405029,0.137839,0.137839,0.000818,444.20068359375
run1_baseline,"Single task, single decoder — heartrate regression, seq_len=512",1,33,heartrate,heartrate,3.227177,3.438726,3.438726,0.134736,0.134736,0.000737,444.20068359375
run1_baseline,"Single task, single decoder — heartrate regression, seq_len=512",1,34,heartrate,heartrate,3.084298,3.294446,3.294446,0.13624,0.13624,0.000761,444.20068359375
run1_baseline,"Single task, single decoder — heartrate regression, seq_len=512",1,35,heartrate,heartrate,3.079165,3.29142,3.29142,0.136232,0.136232,0.0008,444.20068359375
run1_baseline,"Single task, single decoder — heartrate regression, seq_len=512",1,36,heartrate,heartrate,3.094636,3.304588,3.304588,0.134399,0.134399,0.000795,444.20068359375
run1_baseline,"Single task, single decoder — heartrate regression, seq_len=512",1,37,heartrate,heartrate,3.080122,3.293984,3.293984,0.134067,0.134067,0.000773,444.20068359375
run1_baseline,"Single task, single decoder — heartrate regression, seq_len=512",1,38,heartrate,heartrate,3.090176,3.302125,3.302125,0.135709,0.135709,0.000786,444.20068359375
run1_baseline,"Single task, single decoder — heartrate regression, seq_len=512",1,39,heartrate,heartrate,3.122654,3.33667,3.33667,0.137346,0.137346,0.000784,444.20068359375
run1_baseline,"Single task, single decoder — heartrate regression, seq_len=512",1,40,heartrate,heartrate,3.077693,3.287741,3.287741,0.133385,0.133385,0.000795,444.20068359375
