backbone,decoder,encoder,adapter,dataset_name,device,task_name,metric,result,backbone memory,decoder memory,train time,train mem peak,train energy,inference time,inference mem peak,inference energy
MOMENT-1-large,mlp_momentlarge_regression,,,PPG-data,cuda:0,Diastolic BP prediction,mae,10.130713113924353,1461.95456,1462.480384,121734.78125,2613.989888,43894.734,29.31679367437595,1514.385283121951,9.987219512195123
MOMENT-1-base,mlp_momentbase_regression,,,PPG-data,cuda:0,Diastolic BP prediction,mae,10.261294667313738,474.97984,475.374592,36996.0234375,1311.500288,14042.174,10.987735399385778,500.950940097561,3.490682926829268
MOMENT-1-small,mlp_momentsmall_regression,,,PPG-data,cuda:0,Diastolic BP prediction,mae,9.825925315298685,168.875008,169.138688,10243.2802734375,625.839616,3517.97,5.460299771006515,182.8858130731707,1.6415121951219511
chronos-t5-tiny,mlp_chronostiny_regression,,,PPG-data,cuda:0,Diastolic BP prediction,mae,10.184217499523628,33.828864,33.961472,6012.97802734375,1399.789056,1384.4,3.6235691686955893,76.74055804878049,0.0
chronos-t5-mini,mlp_chronosmini_regression,,,PPG-data,cuda:0,Diastolic BP prediction,mae,10.111460057700553,57.957376,58.15552,11863.0673828125,2751.832064,2823.319,3.7730481857206764,143.74035356097562,0.3041463414634146
chronos-t5-small,mlp_chronossmall_regression,,,PPG-data,cuda:0,Diastolic BP prediction,mae,10.153915219190644,109.34784,109.61152,18751.787109375,2841.2416,4639.92,4.974087017338451,196.43589307317072,1.2970487804878048
chronos-t5-base,mlp_chronosbase_regression,,,PPG-data,cuda:0,Diastolic BP prediction,mae,10.027816028129763,436.435968,436.83072,46370.2734375,4530.082304,14041.017,10.584937467807677,565.121948097561,3.0450731707317074
chronos-t5-large,mlp_chronoslarge_regression,,,PPG-data,cuda:0,Diastolic BP prediction,mae,10.09059459407155,1434.966016,1435.49184,115069.765625,6894.023168,39407.608,23.722202440587484,1607.5815711219511,7.339634146341464
papagei_s,mlp_papageis_regression,,,PPG-data,cuda:0,Diastolic BP prediction,mae,9.84043819148366,40.282112,40.545792,3916.729248046875,641.048576,551.577,7.271858727059713,97.50651629268293,1.2530731707317073
papagei_p,mlp_papageip_regression,,,PPG-data,cuda:0,Diastolic BP prediction,mae,9.506230610172922,37.107712,37.371392,3485.1123046875,637.874176,503.384,5.487964885990794,94.33211629268293,0.4666585365853659
papagei_s_svri,mlp_papageissvri_regression,,,PPG-data,cuda:0,Diastolic BP prediction,mae,10.8962316745665,37.107712,37.371392,3500.937255859375,637.874176,508.916,5.666668484850628,94.33211629268293,0.2350487804878049
MOMENT-1-large,mlp_momentlarge_regression,,,PPG-data,cuda:0,Systolic BP prediction,mae,17.58566693561833,1450.15808,1450.683904,121508.7578125,2584.105472,43963.565,29.37017059326172,1486.097283121951,8.63229268292683
MOMENT-1-base,mlp_momentbase_regression,,,PPG-data,cuda:0,Systolic BP prediction,mae,17.357960026438644,472.882688,473.27744,36993.375,1308.35456,14046.098,10.993293994810523,500.557724097561,4.102731707317074
MOMENT-1-small,mlp_momentsmall_regression,,,PPG-data,cuda:0,Systolic BP prediction,mae,16.800065761659205,168.875008,169.138688,10205.5322265625,625.839616,3537.737,5.7509994274232445,182.8858130731707,2.1227804878048784
chronos-t5-tiny,mlp_chronostiny_regression,,,PPG-data,cuda:0,Systolic BP prediction,mae,18.471631678139293,33.828864,33.961472,5251.13037109375,1399.789056,1372.02,3.6846571666438406,76.74055804878049,1.1790731707317073
chronos-t5-mini,mlp_chronosmini_regression,,,PPG-data,cuda:0,Systolic BP prediction,mae,17.682893334365474,57.957376,58.15552,11846.705078125,2751.832064,2828.92,3.7841084933862454,143.74035356097562,1.3688536585365854
chronos-t5-small,mlp_chronossmall_regression,,,PPG-data,cuda:0,Systolic BP prediction,mae,17.863621595429212,109.34784,109.61152,18754.607421875,2841.2416,4639.844,4.975357672063316,196.43589307317072,1.8047560975609755
chronos-t5-base,mlp_chronosbase_regression,,,PPG-data,cuda:0,Systolic BP prediction,mae,16.851040537764387,436.435968,436.83072,46336.5390625,4530.082304,14023.37,10.607969609702506,565.121948097561,1.2014634146341463
chronos-t5-large,mlp_chronoslarge_regression,,,PPG-data,cuda:0,Systolic BP prediction,mae,17.334779692859186,1434.966016,1435.49184,114570.21875,6894.023168,39255.167,23.726418658000668,1607.5815711219511,6.397951219512195
papagei_s,mlp_papageis_regression,,,PPG-data,cuda:0,Systolic BP prediction,mae,18.711624145507812,40.282112,40.545792,3618.532470703125,641.048576,537.185,6.358327423653951,97.50651629268293,0.7120975609756098
papagei_p,mlp_papageip_regression,,,PPG-data,cuda:0,Systolic BP prediction,mae,17.808249868997713,37.107712,37.371392,3509.5234375,637.874176,514.329,5.483857131585842,94.33211629268293,1.0008780487804878
papagei_s_svri,mlp_papageissvri_regression,,,PPG-data,cuda:0,Systolic BP prediction,mae,19.754044323432737,37.107712,37.371392,3498.4150390625,637.874176,510.231,5.764113170344655,94.33211629268293,1.1790731707317073
MOMENT-1-large,mlp_momentlarge_regression,,,PPG-data,cuda:0,Heart rate prediction,mae,7.931830801614901,1450.15808,1450.683904,121535.078125,2584.105472,43932.859,29.4230275503019,1486.097283121951,8.154658536585366
MOMENT-1-base,mlp_momentbase_regression,,,PPG-data,cuda:0,Heart rate prediction,mae,7.049059984160633,472.882688,473.27744,36985.92578125,1308.35456,14016.119,10.956596281470322,500.557724097561,4.1762195121951216
MOMENT-1-small,mlp_momentsmall_regression,,,PPG-data,cuda:0,Heart rate prediction,mae,6.692202126107564,168.875008,169.138688,10207.4169921875,625.839616,3554.259,5.699967989107457,182.8858130731707,1.3096829268292685
chronos-t5-tiny,mlp_chronostiny_regression,,,PPG-data,cuda:0,Heart rate prediction,mae,8.264179136694931,33.828864,33.961472,5256.98681640625,1399.789056,1360.52,3.68516604493304,76.74055804878049,0.2755609756097561
chronos-t5-mini,mlp_chronosmini_regression,,,PPG-data,cuda:0,Heart rate prediction,mae,8.188549320872237,57.957376,58.15552,11815.8984375,2751.832064,2817.282,3.774686429558731,143.74035356097562,0.3074878048780488
chronos-t5-small,mlp_chronossmall_regression,,,PPG-data,cuda:0,Heart rate prediction,mae,8.092019243938166,109.34784,109.61152,18787.30078125,2841.2416,4657.796,5.108597104142352,196.43589307317072,1.016390243902439
chronos-t5-base,mlp_chronosbase_regression,,,PPG-data,cuda:0,Heart rate prediction,mae,7.9696761340629765,436.435968,436.83072,46323.2109375,4530.082304,14013.893,10.633334694839105,565.121948097561,3.455268292682927
chronos-t5-large,mlp_chronoslarge_regression,,,PPG-data,cuda:0,Heart rate prediction,mae,7.971354414777058,1434.966016,1435.49184,114613.578125,6894.023168,39435.847,23.839418643858373,1607.5815711219511,6.404243902439024
papagei_s,mlp_papageis_regression,,,PPG-data,cuda:0,Heart rate prediction,mae,8.09329149199695,40.282112,40.545792,3607.511962890625,641.048576,531.233,6.04498574791885,97.50651629268293,1.235878048780488
papagei_p,mlp_papageip_regression,,,PPG-data,cuda:0,Heart rate prediction,mae,6.074254850061928,37.107712,37.371392,3518.488525390625,637.874176,515.321,5.493375231580036,94.33211629268293,1.163560975609756
papagei_s_svri,mlp_papageissvri_regression,,,PPG-data,cuda:0,Heart rate prediction,mae,7.5389882529654155,37.107712,37.371392,3501.0078125,637.874176,519.284,5.496648590739181,94.33211629268293,0.9732682926829268
MOMENT-1-large,mlp_momentlarge_class,,,ecg5000,cuda:0,ecg classification,accuracy,0.9315555555555556,1450.15808,1450.685952,70195.5078125,1600.961536,23042.562,12.581313208897908,1455.419903886222,2.512864222222222
MOMENT-1-small,mlp_momentsmall_class,,,ecg5000,cuda:0,ecg classification,accuracy,0.9257777777777778,168.875008,169.140736,8231.6826171875,228.714496,1935.899,5.361208511564467,171.0894078862222,0.688016
MOMENT-1-base,mlp_momentbase_class,,,ecg5000,cuda:0,ecg classification,accuracy,0.9282222222222222,472.882688,473.279488,22965.556640625,579.252736,6552.974,7.166652857568529,476.7682558862222,0.9663440000000001
chronos-t5-tiny,mlp_chronostiny_class,,,ecg5000,cuda:0,ecg classification,accuracy,0.824,33.828864,33.96352,10485.720703125,489.074176,2098.356,3.4886085267596774,50.43302388622222,0.6215893333333333
chronos-t5-mini,mlp_chronosmini_class,,,ecg5000,cuda:0,ecg classification,accuracy,0.8595555555555555,57.957376,58.157568,16343.427734375,957.543936,3748.356,3.578679053094652,86.39027188622222,0.6325693333333333
chronos-t5-small,mlp_chronossmall_class,,,ecg5000,cuda:0,ecg classification,accuracy,0.8573333333333333,109.34784,109.613568,30665.904296875,1021.738496,6716.178,4.612461455980936,138.30502388622222,0.6899544444444444
chronos-t5-base,mlp_chronosbase_class,,,ecg5000,cuda:0,ecg classification,accuracy,0.8782222222222222,435.518464,435.915264,68106.65625,1801.910784,19580.748,7.555551069047716,478.94579188622225,1.1722446666666668
chronos-t5-large,mlp_chronoslarge_class,,,ecg5000,cuda:0,ecg classification,accuracy,0.9028888888888889,1434.966016,1435.493888,181788.40625,3256.410624,55428.477,13.323992792341445,1494.6903038862222,2.717337777777778
papagei_s,mlp_papageis_class,,,ecg5000,cuda:0,ecg classification,accuracy,0.8806666666666667,40.282112,40.54784,10558.6494140625,142.904832,1140.961,6.266383396890428,67.34079988622223,0.7731011111111111
papagei_p,mlp_papageip_class,,,ecg5000,cuda:0,ecg classification,accuracy,0.7542222222222222,37.107712,37.37344,9926.3203125,139.730432,1063.538,5.5871569625006785,64.16639988622222,0.6553897777777778
papagei_s_svri,mlp_papageissvri_class,,,ecg5000,cuda:0,ecg classification,accuracy,0.8911111111111111,37.107712,37.37344,9986.001953125,139.730432,1066.414,5.60327727010515,64.16639988622222,0.5938811111111111
MOMENT-1-large,mlp_momentlarge_gesture_class,,,UWaveGestureLibraryAll,cuda:0,gesture classification,accuracy,0.9349525404801786,1452.255232,1452.785664,228972.171875,1730.420736,85615.513,14.025250565067209,1462.7522558570631,3.7187761027359016
MOMENT-1-small,mlp_momentsmall_gesture_class,,,UWaveGestureLibraryAll,cuda:0,gesture classification,accuracy,0.8933556672250139,168.875008,169.143296,21188.576171875,281.499648,6246.067,5.375173857330544,172.6668798570631,0.754108040201005
MOMENT-1-base,mlp_momentbase_gesture_class,,,UWaveGestureLibraryAll,cuda:0,gesture classification,accuracy,0.9126186487995533,472.514048,472.913408,69189.1953125,678.276608,22802.314,7.1467150118948695,479.3190398570631,1.1470731434952541
chronos-t5-tiny,mlp_chronostiny_gesture_class,,,UWaveGestureLibraryAll,cuda:0,gesture classification,accuracy,0.7456728084868789,33.828864,33.96608,18384.494140625,489.082368,3785.804,3.4841920083491646,50.43814385706309,0.5527618648799553
chronos-t5-mini,mlp_chronosmini_gesture_class,,,UWaveGestureLibraryAll,cuda:0,gesture classification,accuracy,0.7783361250697934,57.957376,58.160128,28894.2421875,957.552128,6963.096,3.579439633122907,86.3953918570631,0.6083983807928531
chronos-t5-small,mlp_chronossmall_gesture_class,,,UWaveGestureLibraryAll,cuda:0,gesture classification,accuracy,0.7828029034059185,109.34784,109.616128,43248.90234375,1021.746688,11301.626,4.587018529241275,138.31014385706308,0.6324413735343384
chronos-t5-base,mlp_chronosbase_gesture_class,,,UWaveGestureLibraryAll,cuda:0,gesture classification,accuracy,0.7878280290340591,435.518464,435.917824,118297.9609375,1801.918976,35405.948,7.510866099932152,478.9509118570631,1.1838495254048018
chronos-t5-large,mlp_chronoslarge_gesture_class,,,UWaveGestureLibraryAll,cuda:0,gesture classification,accuracy,0.8137911781127861,1434.966016,1435.496448,295982.3125,3256.418816,98516.575,13.30046431383296,1494.6954238570631,2.9496125069793413
papagei_s,mlp_papageis_gesture_class,,,UWaveGestureLibraryAll,cuda:0,gesture classification,accuracy,0.903964265773311,40.282112,40.5504,18497.0625,204.71808,2180.656,6.248756854112157,68.9807358570631,0.7787325516471245
papagei_p,mlp_papageip_gesture_class,,,UWaveGestureLibraryAll,cuda:0,gesture classification,accuracy,0.69821328866555,37.107712,37.376,17839.7890625,201.54368,2115.67,5.608408944158166,65.80633585706309,0.6197364600781686
papagei_s_svri,mlp_papageissvri_gesture_class,,,UWaveGestureLibraryAll,cuda:0,gesture classification,accuracy,0.9209938581797878,37.107712,37.376,17819.8984375,201.54368,2099.06,5.65151206865316,65.80633585706309,0.642994974874372
chronos-t5-base,mlp_chronosbase_forecasting,,,ETTh1,cuda:0,ETTh1 forecasting,mae,0.717575735331598,435.518464,738.0992,22332.98046875,1948.440576,7019.446,7.517209510015883,1085.1254697746374,1.2073633320937152
chronos-t5-small,mlp_chronossmall_forecasting,,,ETTh1,cuda:0,ETTh1 forecasting,mae,0.8263845121641361,109.34784,311.068672,10426.38671875,1117.970432,2740.901,4.529068374598324,542.919557759762,0.6811461509854965
chronos-t5-mini,mlp_chronosmini_forecasting,,,ETTh1,cuda:0,ETTh1 forecasting,mae,0.575443295697553,57.957376,209.248256,7396.27197265625,814.430208,1819.544,3.519170914231822,389.3603463949423,0.6718672368910376
