backbone,decoder,encoder,adapter,dataset_name,device,task_name,metric,result,backbone memory,decoder memory,train time,train mem peak,train energy,inference time,inference mem peak,inference energy
MOMENT-1-large,mlp_momentlarge_regression,,,PPG-data,cuda:0,Diastolic BP prediction,mae,10.127585713456316,1461.95456,1462.480384,121734.78125,2613.989888,43894.734,179.03122655356802,1504.477571121951,10.923268292682927
MOMENT-1-base,mlp_momentbase_regression,,,PPG-data,cuda:0,Diastolic BP prediction,mae,10.489695479230184,467.901952,468.296704,36996.0234375,1311.500288,14042.174,51.357144704679165,493.478300097561,3.410268292682927
MOMENT-1-small,mlp_momentsmall_regression,,,PPG-data,cuda:0,Diastolic BP prediction,mae,10.011062342946122,161.092608,161.356288,10243.2802734375,625.839616,3517.97,14.83115319507878,174.6595090731707,1.0021463414634146
chronos-t5-tiny,mlp_chronostiny_regression,,,PPG-data,cuda:0,Diastolic BP prediction,mae,9.70670932676734,25.309184,25.441792,6012.97802734375,1399.789056,1384.4,14.011253915181975,68.80046204878049,0.8046341463414634
chronos-t5-mini,mlp_chronosmini_regression,,,PPG-data,cuda:0,Diastolic BP prediction,mae,10.346121439119665,50.142208,50.340352,11863.0673828125,2751.832064,2823.319,16.57249962411276,134.4946575609756,0.8954390243902439
chronos-t5-small,mlp_chronossmall_regression,,,PPG-data,cuda:0,Diastolic BP prediction,mae,10.41240152498571,101.56544,101.82912,18751.787109375,2841.2416,4639.92,25.770813732612424,188.08107707317072,1.5190975609756097
chronos-t5-base,mlp_chronosbase_regression,,,PPG-data,cuda:0,Diastolic BP prediction,mae,10.019732219416921,429.407232,429.801984,46370.2734375,4530.082304,14041.017,80.07124291396723,558.204316097561,4.623317073170732
chronos-t5-large,mlp_chronoslarge_regression,,,PPG-data,cuda:0,Diastolic BP prediction,mae,10.215684099895197,1427.183616,1427.70944,115069.765625,6894.023168,39407.608,238.95218304889957,1599.273347121951,13.985073170731708
papagei_s,mlp_papageis_regression,,,PPG-data,cuda:0,Diastolic BP prediction,mae,29.18090336497237,33.204224,33.467904,3916.729248046875,641.048576,551.577,42.57519754549352,70.05768429268294,1.192560975609756
papagei_p,mlp_papageip_regression,,,PPG-data,cuda:0,Diastolic BP prediction,mae,32.601936852059715,30.029824,30.293504,3485.1123046875,637.874176,503.384,5.5980909277753135,66.88328429268293,0.3732682926829268
papagei_s_svri,mlp_papageissvri_regression,,,PPG-data,cuda:0,Diastolic BP prediction,mae,24.762131016428878,30.029824,30.293504,3500.937255859375,637.874176,508.916,5.580576001144037,66.88328429268293,0.3073170731707317
MOMENT-1-large,mlp_momentlarge_regression,,,PPG-data,cuda:0,Systolic BP prediction,mae,18.721046819919493,1444.25984,1444.785664,121508.7578125,2584.105472,43963.565,175.47406526891197,1479.901571121951,10.580780487804878
MOMENT-1-base,mlp_momentbase_regression,,,PPG-data,cuda:0,Systolic BP prediction,mae,17.40729411055402,465.8048,466.199552,36993.375,1308.35456,14046.098,51.40741562261814,494.334364097561,3.448731707317073
MOMENT-1-small,mlp_momentsmall_regression,,,PPG-data,cuda:0,Systolic BP prediction,mae,21.459820072825362,161.092608,161.356288,10205.5322265625,625.839616,3537.737,14.175047781409287,174.6595090731707,0.8784878048780488
chronos-t5-tiny,mlp_chronostiny_regression,,,PPG-data,cuda:0,Systolic BP prediction,mae,17.45610064994998,25.309184,25.441792,5251.13037109375,1399.789056,1372.02,8.30508722910067,68.80046204878049,0.7005853658536586
chronos-t5-mini,mlp_chronosmini_regression,,,PPG-data,cuda:0,Systolic BP prediction,mae,17.597365030428257,50.142208,50.340352,11846.705078125,2751.832064,2828.92,16.574269736685405,134.4946575609756,0.8163414634146342
chronos-t5-small,mlp_chronossmall_regression,,,PPG-data,cuda:0,Systolic BP prediction,mae,17.639511480564025,101.56544,101.82912,18754.607421875,2841.2416,4639.844,25.808070950391816,188.08107707317072,1.515341463414634
chronos-t5-base,mlp_chronosbase_regression,,,PPG-data,cuda:0,Systolic BP prediction,mae,17.027760017208937,429.407232,429.801984,46336.5390625,4530.082304,14023.37,80.04560331018959,558.204316097561,4.574170731707317
chronos-t5-large,mlp_chronoslarge_regression,,,PPG-data,cuda:0,Systolic BP prediction,mae,17.526721303055925,1427.183616,1427.70944,114570.21875,6894.023168,39255.167,239.0825359065358,1599.273347121951,14.225024390243904
papagei_s,mlp_papageis_regression,,,PPG-data,cuda:0,Systolic BP prediction,mae,61.75464257961366,33.204224,33.467904,3618.532470703125,641.048576,537.185,6.190741853016179,70.05768429268294,0.3024146341463415
papagei_p,mlp_papageip_regression,,,PPG-data,cuda:0,Systolic BP prediction,mae,66.6251217911883,30.029824,30.293504,3509.5234375,637.874176,514.329,5.573941079581656,66.88328429268293,0.30746341463414634
papagei_s_svri,mlp_papageissvri_regression,,,PPG-data,cuda:0,Systolic BP prediction,mae,49.893171543028295,30.029824,30.293504,3498.4150390625,637.874176,510.231,5.556714906925109,66.88328429268293,0.37765853658536586
MOMENT-1-large,mlp_momentlarge_regression,,,PPG-data,cuda:0,Heart rate prediction,mae,7.9662974287823936,1444.25984,1444.785664,121535.078125,2584.105472,43932.859,175.44730991270484,1479.901571121951,10.577853658536586
MOMENT-1-base,mlp_momentbase_regression,,,PPG-data,cuda:0,Heart rate prediction,mae,8.457862295755525,465.8048,466.199552,36985.92578125,1308.35456,14016.119,51.45318575603206,494.334364097561,3.5139756097560975
MOMENT-1-small,mlp_momentsmall_regression,,,PPG-data,cuda:0,Heart rate prediction,mae,8.143273888564691,161.092608,161.356288,10207.4169921875,625.839616,3554.259,14.181411859465808,174.6595090731707,0.8821951219512195
chronos-t5-tiny,mlp_chronostiny_regression,,,PPG-data,cuda:0,Heart rate prediction,mae,7.959552671851181,25.309184,25.441792,5256.98681640625,1399.789056,1360.52,8.40507244482273,68.80046204878049,0.6993170731707318
chronos-t5-mini,mlp_chronosmini_regression,,,PPG-data,cuda:0,Heart rate prediction,mae,8.051317168445122,50.142208,50.340352,11815.8984375,2751.832064,2817.282,16.541774005424685,134.4946575609756,0.9044390243902439
chronos-t5-small,mlp_chronossmall_regression,,,PPG-data,cuda:0,Heart rate prediction,mae,8.028948900176257,101.56544,101.82912,18787.30078125,2841.2416,4657.796,25.80705703177103,188.08107707317072,1.6626829268292684
chronos-t5-base,mlp_chronosbase_regression,,,PPG-data,cuda:0,Heart rate prediction,mae,7.733091028725228,429.407232,429.801984,46323.2109375,4530.082304,14013.893,80.05458441013243,558.204316097561,4.710536585365854
chronos-t5-large,mlp_chronoslarge_regression,,,PPG-data,cuda:0,Heart rate prediction,mae,7.771106626929306,1427.183616,1427.70944,114613.578125,6894.023168,39435.847,239.1537148080221,1599.273347121951,14.335048780487805
papagei_s,mlp_papageis_regression,,,PPG-data,cuda:0,Heart rate prediction,mae,26.460788261599657,33.204224,33.467904,3607.511962890625,641.048576,531.233,6.190609978466499,70.05768429268294,0.3063658536585366
papagei_p,mlp_papageip_regression,,,PPG-data,cuda:0,Heart rate prediction,mae,25.248287387010528,30.029824,30.293504,3518.488525390625,637.874176,515.321,5.580090557656637,66.88328429268293,0.4514390243902439
papagei_s_svri,mlp_papageissvri_regression,,,PPG-data,cuda:0,Heart rate prediction,mae,21.919190383538968,30.029824,30.293504,3501.0078125,637.874176,519.284,5.582246245407477,66.88328429268293,0.4525609756097561
MOMENT-1-large,mlp_momentlarge_class,,,ecg5000,cuda:0,ecg classification,accuracy,0.9315555555555556,1444.25984,1444.787712,70195.5078125,1600.961536,23042.562,28.36517921362983,1448.9937918862222,2.2523417777777777
MOMENT-1-small,mlp_momentsmall_class,,,ecg5000,cuda:0,ecg classification,accuracy,0.9257777777777778,161.092608,161.358336,8231.6826171875,228.714496,1935.899,4.807333798832364,163.0412798862222,0.2610882222222222
MOMENT-1-base,mlp_momentbase_class,,,ecg5000,cuda:0,ecg classification,accuracy,0.9282222222222222,465.8048,466.2016,22965.556640625,579.252736,6552.974,9.417197391298082,469.29356788622226,0.9218582222222222
chronos-t5-tiny,mlp_chronostiny_class,,,ecg5000,cuda:0,ecg classification,accuracy,0.824,25.309184,25.44384,10485.720703125,489.074176,2098.356,3.8610835767851936,42.48985588622222,0.08830088888888889
chronos-t5-mini,mlp_chronosmini_class,,,ecg5000,cuda:0,ecg classification,accuracy,0.8597777777777778,50.142208,50.3424,16343.427734375,957.543936,3748.356,7.567544839541117,78.37491188622222,0.508776
chronos-t5-small,mlp_chronossmall_class,,,ecg5000,cuda:0,ecg classification,accuracy,0.8577777777777778,101.56544,101.831168,30665.904296875,1021.738496,6716.178,10.788209864298503,130.25740788622224,0.856318
chronos-t5-base,mlp_chronosbase_class,,,ecg5000,cuda:0,ecg classification,accuracy,0.8782222222222222,429.407232,429.804032,68106.65625,1801.910784,19580.748,29.041463449690077,472.43775988622224,2.1306564444444445
chronos-t5-large,mlp_chronoslarge_class,,,ecg5000,cuda:0,ecg classification,accuracy,0.9028888888888889,1427.183616,1427.711488,181788.40625,3256.410624,55428.477,86.34257951524522,1487.8294983111111,5.722927555555556
papagei_s,mlp_papageis_class,,,ecg5000,cuda:0,ecg classification,accuracy,0.8804444444444445,33.204224,33.469952,10558.6494140625,142.904832,1140.961,6.207812750180563,39.06099188622222,0.3116233333333333
papagei_p,mlp_papageip_class,,,ecg5000,cuda:0,ecg classification,accuracy,0.7542222222222222,30.029824,30.295552,9926.3203125,139.730432,1063.538,5.5870518791410655,35.88659188622222,0.31186555555555556
papagei_s_svri,mlp_papageissvri_class,,,ecg5000,cuda:0,ecg classification,accuracy,0.8911111111111111,30.029824,30.295552,9986.001953125,139.730432,1066.414,5.594453696992662,35.88659188622222,0.3045164444444445
MOMENT-1-large,mlp_momentlarge_gesture_class,,,UWaveGestureLibraryAll,cuda:0,gesture classification,accuracy,0.9349525404801786,1445.308416,1445.838848,228972.171875,1730.420736,85615.513,44.20231308396604,1454.6647038570632,2.774969290898939
MOMENT-1-small,mlp_momentsmall_gesture_class,,,UWaveGestureLibraryAll,cuda:0,gesture classification,accuracy,0.8933556672250139,161.092608,161.360896,21188.576171875,281.499648,6246.067,5.453007956845077,164.6161918570631,0.3998291457286432
MOMENT-1-base,mlp_momentbase_gesture_class,,,UWaveGestureLibraryAll,cuda:0,gesture classification,accuracy,0.9126186487995533,464.174592,464.573952,69189.1953125,678.276608,22802.314,14.080096847314797,470.5802238570631,0.9185491345616974
chronos-t5-tiny,mlp_chronostiny_gesture_class,,,UWaveGestureLibraryAll,cuda:0,gesture classification,accuracy,0.7456728084868789,25.309184,25.4464,18384.494140625,489.082368,3785.804,3.8860790343473637,42.492415857063094,0.10668006700167504
