backbone,decoder,encoder,adapter,dataset_name,device,task_name,metric,result,backbone memory(MB),decoder memory(MB),train time(ms),train mem peak(MB),train energy(mJ),inference time(ms),inference mem peak(MB),inference energy(mJ)
momentsmall,mlp,linear,,PPG-data,Tesla V100-SXM2-32GB,diasbp,mae,9.87335037603611,151.835648,0.2636800000000221,12068.6796875,1774.991872,2268.169,101.51185521846864,103.31337053658535,6.807073170731707
momentsmall,mlp,linear,lora,PPG-data,Tesla V100-SXM2-32GB,diasbp,mae,45.360668461497234,151.835648,4.655872000000016,10901.62939453125,1838.063616,2329.3335,56.8222932234043,104.04394458536584,3.95259756097561
momentsmall,mlp,linear,,PPG-data,Tesla V100-SXM2-32GB,diasbp,mae,9.87335037603611,151.835648,0.2636800000000221,12068.6796875,1774.991872,2268.169,14.651922877241926,103.31337053658535,1.1964146341463415
momentsmall,mlp,linear,lora,PPG-data,Tesla V100-SXM2-32GB,diasbp,mae,45.360668461497234,151.835648,4.655872000000016,10901.62939453125,1838.063616,2329.3335,13.394081639080513,104.04394458536584,1.1458170731707316
momentsmall,mlp,linear,,PPG-data,NVIDIA GeForce RTX 3090 Ti,diasbp,mae,56.046958807038095,151.835648,0.2636800000000221,472.9388427734375,1774.991872,154.894,3.247781474415849,112.22780253658533,0.06804878048780488
dinobase,linear,,,EuroSAT,Tesla V100-PCIE-16GB,eurosat_imgclass,accuracy,0.9640740740740741,347.122688,0.031232000000045446,,,,139.55403016034293,5526.6627102117645,31.757470588235293
maebase,linear,,,EuroSAT,Tesla V100-PCIE-16GB,eurosat_imgclass,accuracy,0.947037037037037,343.194624,0.031232000000045446,,,,37.05396008211024,1009.7057792,5.410070588235294
swinsmall,linear,,,EuroSAT,Tesla V100-PCIE-16GB,eurosat_imgclass,accuracy,0.965925925925926,196.742656,0.031231999999988602,,,,93.97354000315947,5435.235978541177,17.343129411764703
chronostiny,mlp,,,PPG-data,NVIDIA A16,diasbp,mae,9.575244903564453,16.789504,-16.656896,41035.4453125,1399.793664,2377.897,16.935254445890102,42.72427707317073,0.8911463414634146
chronostiny,mlp,,,PPG-data,NVIDIA A16,diasbp,mae,9.575244903564453,16.789504,0.132608,41035.4453125,1399.793664,2377.897,14.265455455314822,42.85688507317073,0.8352439024390244
momentsmall,mlp,,,PPG-data,NVIDIA A16,diasbp,mae,9.689480781555176,151.835648,0.26368,30703.16015625,330.665984,1787.406,11.342749572381742,5.239758048780488,0.43802439024390244
chronostiny,mlp,,,ecg5000,NVIDIA A16,ecgclass,accuracy,0.824,16.789504,0.134656,10485.720703125,489.074176,2098.356,4.114379624896579,16.336741262222223,0.055638888888888884
chronostiny,mlp,,,ecg5000,NVIDIA A16,ecgclass,accuracy,0.824,16.789504,0.134656,10485.720703125,489.074176,2098.356,4.1305117677582635,16.336741262222223,0.11044866666666667
chronostiny,mlp,,,ecg5000,NVIDIA A16,ecgclass,accuracy,0.824,16.789504,0.134656,10485.720703125,489.074176,2098.356,4.115727110756768,16.336741262222223,0.04243977777777778
chronostiny,mlp,,,ecg5000,NVIDIA A16,ecgclass,accuracy,0.824,16.789504,0.134656,10485.720703125,489.074176,2098.356,4.113661205238766,16.336741262222223,0.028930222222222222
chronostiny,mlp,,,ecg5000,NVIDIA A16,ecgclass,accuracy,0.824,16.789504,0.134656,10485.720703125,489.074176,2098.356,4.101637634701199,16.336741262222223,0.027989777777777777
chronostiny,mlp,,,ecg5000,NVIDIA A16,ecgclass,accuracy,0.824,16.789504,0.134656,10485.720703125,489.074176,2098.356,4.087413802018596,16.336741262222223,0.039977111111111116
chronostiny,mlp,,,ecg5000,NVIDIA A16,ecgclass,accuracy,0.824,16.789504,0.134656,10485.720703125,489.074176,2098.356,4.091648208055024,16.336741262222223,0.03858244444444444
chronostiny,mlp,,,ecg5000,NVIDIA A16,ecgclass,accuracy,0.824,16.789504,0.134656,10485.720703125,489.074176,2098.356,4.103001856969462,16.336741262222223,0.04827066666666666
chronostiny,mlp,,,ecg5000,NVIDIA A16,ecgclass,accuracy,0.824,16.789504,0.134656,10485.720703125,489.074176,2098.356,4.09666639711294,16.336741262222223,0.05397977777777778
