backbone,decoder,encoder,adapter,dataset_name,device,task_name,metric,result,backbone memory(MB),backbone load time(ms),decoder memory(MB),decoder load time(ms),encoder memory(MB),encoder load time(ms),adapter memory(MB),adapter load time(ms),train time(ms),train mem peak(MB),train energy(mJ),inference time(ms),inference mem peak(MB),inference energy(mJ),avg_gpu_usage_percent,total_prompt_tokens,total_generated_tokens,throughput_tps,num_samples
Phi-3.5-vision-instruct,,,lora_vlm,ocr,NVIDIA A16,vlm_ocr,accuracy,1.0,8293.510144,5133.193711051717,,,,,6.324224,61.04713294189423,19347.10546875,5943.779328,1122.272,1073.379329056479,808.0384,58.708,85.0,33,1,0.9228666928897671,1
Phi-3.5-vision-instruct,,,lora_vlm,ocr,NVIDIA A16,vlm_ocr,accuracy,1.0,8293.510144,6194.19026596006,,,,,6.324224,61.70358299277723,19337.404296875,5943.779328,1121.75,1083.772411919199,808.0384,64.21,74.0,33,1,0.9120856660162473,1
